단어,점수
내뱉다,0
내버리다,-1
내보내다,-1
내보이다,0
내쉬다,0
내시,0
내신,0
내야,0
내자,0
내젓다,0
내주,0
내주다,0
내지,0
내쫓다,0
냠냠대다,0
너덜대다,-1
너부러지다,-1
너울거리다,0
너울대다,0
널다,0
넓어지다,0
넓히다,0
넘겨다보다,0
넘겨받다,0
넘겨보다,0
넘겨주다,0
넘겨짚다,0
넘기다,0
넘다,0
넘실대다,0
넘어가다,0
넘어뜨리다,-1
넘어서다,0
넘어오다,0
넘어지다,-1
넣다,0
노니,0
노닥이다,0
노려보다,-2
노리다,-1
노을,0
녹나다,0
녹다,0
녹슬다,-1
녹아내리다,0
녹이다,0
녹지,0
놀다,0
놀라다,0
놀란,0
놀람,0
놀리다,0
농사짓다,0
농치다,0
높아지다,0
높이,0
높이다,0
놓다,0
놓아두다,0
놓이다,0
놓치다,0
놔두다,0
누르다,0
누리,0
누리다,0
눈감다,0
눈뜨다,0
눈물나다,1
눕다,0
뉘엿대다,0
뉘우다,0
뉘우치다,0
느껴지다,0
느끼다,0
느낌,0
느냐고,0
느냐에,0
는게,0
는구나,0
는군,0
는다,0
는다고,0
는다는,0
는다는데,0
는다만,0
는다며,0
는다면,0
는답니다,0
는대,0
는대로,0
는데,0
는데는,0
는데다,0
는데도,0
는데서,0
는지,0
는지는,0
는지도,0
는지라,0
는지를,-1
는지요,0
늘다,0
늘리다,0
늘어나다,0
늘어놓다,0
늘어서다,0
늘어지다,0
늙다,0
늦다,-1
늦어지다,-1
늦추다,0
니당다,0
다가,0
다가가다,0
다가들다,0
다가서다,0
다가앉다,0
다가오다,0
다그치다,0
다급해지다,-1
다녀가다,0
다녀오다,0
다는데,0
다니다,0
다다르다,0
다독이다,1
다듬다,1
다듬어지다,1
다려지다,1
다루다,1
다루어지다,1
다리,0
다리다,0
다린,0
다물다,0
다물어지다,0
다박대다,0
다스려지다,0
다스리다,0
다시,0
다시다,0
다양해지다,0
다음가다,0
다잡다,0
다져지다,0
다지,0
다지다,0
다지르다,0
다짐,0
다집,0
다치다,0
다투다,0
닥쳐오다,0
닥치다,0
닦다,0
닦아지다,0
닦여지다,0
닦이다,0
단것,0
단계,0
단다,0
단도,0
단아,0
단오,0
단지,0
닫다,0
닫히다,0
달구다,0
달다,0
달뜨다,0
달라,0
달라붙다,0
달라지다,0
달랑이다,0
달래,0
달래다,0
달려가다,0
달려들다,0
달려오다,0
달리,0
달리기,0
달리다,0
달아나다,0
달아오르다,0
달이다,0
달인,0
닮다,0
닳다,-1
담그다,0
담기다,0
담다,0
담들다,0
당기다,0
닿다,0
대거,0
대게,0
대고,0
대구,0
대기,0
대끼다,0
대니,0
대다,0
대답,0
대도,0
대들다,-1
대리,0
대면,0
대물리다,-1
대박나다,2
대보다,0
대사,0
대신,0
대안,0
대어지다,0
대여받다,0
대우,0
대우받다,1
대인,0
대접받다,1
대지,0
대출받다,0
대치,0
대하,0
대해,0
댓글달다,0
더듬다,0
더디다,0
더러워지다,-2
더럽히다,-2
더불다,0
더워지다,0
던지다,0
덜다,0
덜렁대다,0
덜렁이다,0
덜컥대다,0
덜컹대다,0
덜컹이다,0
덤벙거리다,0
덤벙대다,0
덤비다,0
덧붙이다,0
덩실대다,0
덮다,0
덮이다,0
데려가다,0
데려오다,0
데리,0
데리다,0
데우다,0
도닥이다,0
도드라지다,1
도려내다,0
도르다,0
도망가다,-1
도망치다,-1
도와주다,1
돋다,0
돋보다,1
돋보이다,1
돋아나다,1
돌기,0
돌다,0
돌다리,0
돌라매다,0
돌라보다,0
돌라서다,0
돌려주다,0
돌리다,0
돌보다,0
돌아가다,0
돌아다니다,0
돌아보다,0
돌아서다,0
돌아오다,0
돌이,0
돌이키다,0
돌진,0
돕다,0
돼다,0
돼지,0
되게,0
되다,0
되돌리다,0
되돌아가다,0
되돌아보다,0
되돌아오다,0
되살리다,0
되새기다,0
되씹다,0
되어다,0
되찾다,0
된거,0
두기,0
두다,0
두드리다,0
두르다,0
두리번거리다,0
두시,0
둘러놓다,0
둘러대다,0
둘러막다,0
둘러매다,0
둘러보다,0
둘러붙다,0
둘러서다,0
둘러스다,0
둘러싸다,0
둘러싸이다,0
둘러쌓다,0
둘러앉다,0
둥글리다,0
둥실대다,0
둥치다,0
뒈지다,0
뒤덮히다,0
뒤따르다,0
뒤지다,0
뒤집어지다,0
뒤척거리다,0
뒤틀다,-1
뒤틀리다,-1
뒷목잡다,-2
드나들다,0
드날리다,0
드높아지다,0
드높이다,0
드니,0
드러나다,0
드러내다,0
드러눕다,0
드리다,0
드리우다,0
드리워지다,0
드릴,0
드림,0
드립,0
드세지다,-1
득실대다,0
든지,0
듣기,0
듣다,0
듣보다,0
들것,0
들고나다,0
들고파다,0
들끓다,0
들다,0
들러붙다,0
들레다,0
들려오다,0
들려주다,0
들르다,0
들리다,0
들먹이다,0
들붙다,0
들썩대다,1
들썩이다,1
들어가다,0
들어맞다,0
들어서다,0
들어오다,0
들어주다,0
들여놓다,0
들여다보다,0
들이굽다,0
들이다,0
들이마시다,0
들이밀다,0
들이켜다,0
들이키다,0
들척이다,0
들추다,0
들추어내다,0
들키다,0
디디,0
디디다,0
디밀다,0
디지다,0
딛다,0
따내다,0
따다,0
따돌리다,-1
따라가다,0
따라다니다,0
따라서,0
따라오다,0
따라잡다,0
따로서다,0
따르다,0
따름,0
따리,0
따먹다,0
따오다,0
따지다,0
딸리다,0
딸아,0
때리다,-2
때우다,0
땡기다,-1
땡잡다,1
떄리다,-2
떠가다,0
떠나가다,0
떠나다,0
떠나오다,0
떠내다,0
떠내려가다,0
떠다니다,0
떠돌다,-1
떠돌아다니다,-1
떠들다,-1
