단어,점수
읽다,0
읽히다,0
잃다,-1
잃어버리다,-1
임시,0
입구,0
입다,0
입어보다,0
입자,0
입지,0
입히다,0
잇다,0
잇따르다,0
잊다,0
잊어버리다,0
잊혀지다,0
자고,0
자구,0
자극받다,0
자극시키다,0
자글거리다,0
자기,0
자네,0
자다,0
자도,0
자라,0
자라나다,0
자라다,0
자랑거리다,0
자랑삼다,0
자르다,0
자박이다,0
자백받다,-1
자빠뜨리다,-1
자빠지다,-1
자서,0
자수,0
자시다,0
자신,0
자아내다,0
자재,0
자전,0
자제시키다,0
자주,0
자지,0
자지러지다,-1
작동시키다,0
작아지다,0
잔말,0
잖다,0
잘나가다,0
잘나오다,0
잘라먹다,0
잘라지다,0
잘려지다,0
잘리다,0
잘못,0
잘못짚다,-1
잘불르다,1
잘빠지다,0
잘뽑다,0
잘살다,0
잘쓰다,0
잘알다,0
잘잘,0
잘추다,0
잘해주다,1
잠그다,0
잠기,0
잠기다,0
잠들다,0
잠시,0
잠자다,0
잠재우다,0
잡고,0
잡다,0
잡수다,0
잡수시다,0
잡숫다,0
잡아가다,0
잡아끌다,0
잡아내다,0
잡아넣다,0
잡아당기다,0
잡아들이다,0
잡아떼다,-1
잡아매다,0
잡아먹다,0
잡아먹히다,0
잡아채다,0
잡아타다,0
잡음,0
잡혀가다,0
잡히다,0
잦다,0
재고,0
재는,0
재다,0
재도,0
재수,0
재우다,0
재잘거리다,0
재잘대다,0
재주,0
재질,0
저러다,0
저물다,0
저벅거리다,0
저주받다,-1
저지르다,0
적다,0
적어도,0
적어지다,0
적하,0
적히다,0
젂다,0
전해지다,0
전해진,0
접다,0
접수,0
접지,0
젓다,0
정해지다,0
젖다,0
젖소,0
젖히다,0
져서,0
조르다,0
조심,0
조심하다,1
조아리다,0
조아하다,0
조여,0
조이다,0
조인,0
조잘거리다,0
족치다,0
졸다,0
졸리다,0
졸이다,0
좁히다,0
좋아지다,0
주거,0
주겨주다,0
주고받다,0
주기,0
주니,0
주다,0
주더,0
주리,0
주리다,0
주말,0
주무르다,0
주무시다,0
주시,0
주신,0
주어,0
주어지다,0
주자,0
주저앉다,0
주절거리다,0
주절대다,0
주지,0
주춤거리다,0
주춤대다,0
주하,0
죽다,0
죽도,0
죽여주다,1
죽이다,-2
죽치다,0
준수,0
줄기,0
줄다,0
줄어들다,0
줄이다,0
줍다,0
중얼거리다,0
쥐다,0
쥐어박다,-1
즐기다,2
지구,0
지기,0
지껄이다,-1
지나,0
지나가다,0
지나다,0
지나치다,0
지난,0
지난해,0
지남,0
지내다,0
지네,0
지니다,0
지다,0
지도,0
지라,0
지르다,0
지름,0
지리,0
지리다,0
지린다,1
지만,0
지요,0
지우다,0
지워지다,0
지인,0
지지,0
지지다,0
지질,0
지치다,0
지켜보다,0
지키다,0
지킴,0
지피다,0
지하,0
진로,0
진리,0
진아,0
진주,0
진지,0
질라,0
질리,0
질리다,-1
질린다,-1
집다,0
집어넣다,0
집어치우다,0
짓누르다,0
짓눌리다,0
짓다,0
짖다,0
짙어지다,0
짚다,0
짜개다,0
짜그리다,0
짜깁다,0
짜내다,0
짜다,0
짜들다,0
짜이다,0
짜지다,0
짝짝대다,0
짤깍거리다,0
짤랑거리다,0
짤랑대다,0
짤랑이다,0
짤짤거리다,0
짧아지다,0
째다,0
째지다,0
쨍쨍거리다,0
쩔다,0
쩔쩔매다,-1
쪼개다,0
쪼개지다,0
쪼그라들다,0
쪼그라뜨리다,0
쪼그라지다,0
쪼그리다,0
쪼들리다,0
쪼아먹다,0
쪼이다,0
쪽팔리다,-1
쫑알거리다,0
쫑알대다,0
쫒다,0
쫓겨나다,-1
쫓기다,-1
쫓다,0
쫓아가다,0
쫓아내다,-1
쫓아오다,0
쬐다,0
쭈그러들다,0
쭈그러뜨리다,0
쭈그러지다,0
쭈그리다,0
찌게,0
찌그러뜨리다,-1
찌그러지다,-1
찌그리다,-1
찌꺼기,-1
찌다,0
찌들다,0
찌르다,0
찌부러지다,-1
찌푸리다,-1
찍기,0
찍다,0
찍어내다,0
찍어매다,0
찍히다,0
찐득거리다,0
찔리다,0
찡그리다,0
찡긋거리다,0
찡얼거리다,-1
찡얼대다,-1
찡찡거리다,-1
찡찡대다,-1
찢기다,-1
찢다,0
찢어지다,0
찧다,0
차가워지다,0
차고,0
차기,0
차니,0
차다,0
차단시키다,0
차도,0
차랑거리다,0
차랑대다,0
차려,0
차려입다,1
차리기,0
차리다,0
차림,0
차박대다,0
차분거리다,0
차분해지다,1
차서,0
차오르다,0
차요,0
차이,0
차이나다,0
차이다,0
차입,0
차지,0
차하,0
착륙시키다,0
찬물붓다,-1
찮아다,0
찰강거리다,1
찰그랑거리다,1
찰나,1
찰랑거리다,1
찰랑대다,1
찰랑이다,1
찰방거리다,1
찰방이다,1
찰싹이다,-1
찰칵거리다,0
찰칵대다,0
찰칵이다,0
참고,0
참다,0
참여,0
참전,0
참치,0
찾기,0
찾다,0
찾아가다,0
찾아내다,0
찾아다니다,0
찾아듣다,0
찾아보다,0
찾아오다,0
채다,0
채보,0
채우다,0
채운,0
책임지다,1
챙기다,0
처지,0
처지다,0
쳐다보다,0
촐랑거리다,-1
촐랑대다,-1
촐랑이다,-1
촐싹거리다,-1
촐싹대다,-1
총총거리다,0
총총대다,0
촬촬거리다,0
추가,0
추구,0
추근대다,-1
추나,0
추다,0
추리,0
추석대다,0
추워지다,0
추이,0
추적거리다,0
추진,0
춘자,0
출구,0
출렁대다,0
출렁이다,0
출전,0
춤추다,0
춥다,0
치가,0
치고는,0
치고받다,-1
치근대다,-1
치근덕대다,-1
치네다,-1
치다,-1
치닫다,0
치달리다,0
치대다,0
치돌리다,0
치뜨다,0
치러지다,0
치료받다,0
치루어지다,0
치뤄지다,0
치르다,0
치면,0
치밀다,-1
치받다,-1
치솟다,-1
치우다,0
치우치다,0
치워지다,0
치이다,0
치켜들다,0
치켜뜨다,0
치켜세우다,0
치키다,0
치킨,0
치하,0
칙칙거리다,-1
칙칙대다,-1
친해지다,1
칭얼거리다,0
칭얼대다,0
카인,0
캐다,0
캠퍼,0
커서,0
커지다,0
켜다,0
켜지다,0
콕콕대다,0
콜록거리다,-1
콩닥거리다,1
콩닥대다,1
콩당거리다,1
콩콩거리다,1
콩콩이다,1
콸콸대다,-1
쾅쾅거리다,-1
쿵쾅거리다,-1
크다,0
큰소리치다,-1
큰코다치다,-1
킁킁거리다,0
키득거리다,-1
키득대다,-1
키우다,0
키워지다,0
킥킥대다,-1
킬킬거리다,-1
킬킬대다,-1
타가,0
타겟,0
타고,0
타고나다,0
타구,0
타나,0
타네,0
타다,0
타도,0
타오르다,0
타올대다,0
타요,0
타운,0
타워,0
타지,0
탄지,0
탄하,0
탈각이다,0
탈것,0
탈수,0
탐방거리다,0
탐방대다,0
탕탕거리다,0
태어나다,0
태우다,0
터덕대다,0
터덜거리다,0
터뜨리다,0
터벅거리다,0
터지다,0
털다,0
털리다,-1
토끼,0
토끼다,0
토나오다,-1
토닥이다,1
통기다,0
통통거리다,0
톺다,0
투덜거리다,-1
투덜대다,-1
튀기다,0
튀김,0
튀다,0
튀어,0
튀어나오다,0
트이다,0
특징짓다,0
틀다,0
틀려먹다,-1
틀려지다,-1
틀리다,-1
틀어놓다,-1
틀어막다,-1
틀어박히다,-1
틀어잡다,-1
틀어주다,-1
틀어지다,-1
틈나다,0
틈타다,0
틔우다,0
팅기다,0
파가,0
파고들다,0
파내다,0
파네,0
파다,0
파닥거리다,0
파닥이다,0
파도,0
파도치다,0
파래지다,-1
파먹다,0
파먹히다,0
파면,0
파묻다,0
파묻히다,0
파시,0
파여지다,0
파오,0
파이,0
파이다,0
파주,0
파지다,0
파헤치다,0
판다,0
판단,0
판이,0
판지,0
판치다,0
판하,0
팔다,0
팔딱거리다,0
팔딱이다,0
팔락거리다,0
팔락이다,0
팔랑거리다,0
팔랑대다,0
팔랑이다,0
팔리다,0
팔음,0
팔지마다,0
팡팡거리다,0
퍼내다,0
퍼덕거리다,0
퍼덕이다,0
퍼붓다,0
퍼석거리다,0
퍼지다,0
펄떡거리다,0
펄떡대다,0
펄떡이다,0
펄럭거리다,0
펄럭대다,0
펄럭이다,0
펄렁이다,0
펄쩍거리다,0
펴내다,0
펴다,0
편이,0
편전,0
편주,0
편지,0
펼쳐지다,0
펼치다,0
포개다,0
푸네,0
푸다,0
푸석거리다,-1
푸석대다,-1
푹쉬다,0
풀다,0
풀리다,0
풀썩거리다,0
풀어지다,0
풀이,0
풀죽다,-1
풀풀거리다,-1
풀풀대다,-1
품다,0
풍기,0
풍기다,0
풍덩거리다,0
피고,0
피다,0
피더,0
피어,0
피우다,0
피우지,0
피자,0
피하,0
필수,0
필요,0
하고가,0
하고는,0
하고도,0
하고라도,0
하고만,0
하고야,0
하고의,0
하고프다,0
하구로,0
하기는,0
하기야,0
하노,0
하노이,0
하늘거리다,1
하늘대다,0
하니,0
하니아,0
하니지,0
하다,0
하동대다,0
하든,0
하마,0
하므다,0
하비,0
하비다,0
하신기,0
하얘지다,1
하여가,0
하여진,0
하옵다,0
하자,0
하지만,-1
하지시,0
하진,0
한계,0
한나,0
한난,0
한눈팔다,0
한다는,0
한단,0
한당,0
한데,0
한들거리다,0
한들대다,0
한물가다,0
한숨짓다,-1
한시,0
한우,0
한인,0
한자,0
한정시키다,0
한지,0
한진,0
한해,0
할기다,0
할끔대다,-1
할딱거리다,-1
할딱대다,-1
할딱이다,-1
할인,0
할퀴다,-1
핥다,0
함안,0
합치다,0
해고,0
해구,0
해군,0
해기,0
해나,0
해난,0
해내다,1
해니,0
해달라다,0
해답,0
해당,0
해대,0
해도,0
해드리다,0
해랑,0
해롭다,0
해리,0
해마,0
해마다,0
해만,0
해만이,0
해면,0
해보다,0
해봤다,0
해사,0
해소,0
해수,0
해시,0
해신,0
해십,0
해안,0
해어지다,0
해오,0
해오다,0
해오리,0
해오이,0
해우,0
해우소,0
해운,0
해이,0
해인,0
해자,0
해전,0
해주,0
해주다,0
해주시,0
해지,0
해진,0
해치,0
해치다,0
해침,0
해하,0
해해,0
행해지다,0
허기지다,0
허니,0
허다,0
허당,-1
허덕거리다,-1
허덕대다,-1
허덕이다,-1
허둥거리다,-1
허둥대다,-1
허리,0
허비다,0
허우적거리다,-1
허우적대다,-1
허우적이다,-1
헉헉거리다,0
헉헉대다,0
헐다,-1
헐떡거리다,-1
헐떡대다,-1
헐떡이다,-1
헐뜯다,-1
헐렁이다,-1
험로,0
헛디디다,-1
헝클다,-1
헝클리다,-1
헝클어뜨리다,-1
헝클어지다,-1
헤매다,-1
헤아리다,0
헤어지다,0
헤집다,-1
헤치다,-1
호로록대다,-1
호리다,-1
호림,0
호비다,0
혼나다,-2
혼내다,-2
홈키다,0
홈파다,0
홈패다,0
화나다,-2
활발해지다,2
후려치다,-2
후리다,-1
후벼파다,-1
후비다,-1
훑다,0
훔치다,-1
휘감다,0
휘날리다,0
휘두르다,0
휘둥그레지다,2
휘적거리다,0
휘적이다,0
휘정거리다,-1
휘청거리다,-1
휘청대다,-1
휘청이다,-1
휩싸다,0
휩싸이다,0
흉보다,-2
흐려지다,0
흐르다,0
흐리다,0
흔들다,0
흔들리다,0
흘겨보다,0
흘러가다,0
흘러나오다,0
흘러내리다,0
흘리다,0
흥얼거리다,2
흥이나다,2
흩날리다,0
흩다,0
흩어지다,0
히트치다,2
힐끔거리다,0
힐끗거리다,0
힘내다,0
힘빠지다,0
힘쓰다,0
힘주다,0
